Comune,Longitudine,Latitudine
bosia,8.14620308,44.60246692
bossolasco,8.05750263,44.52679083
boves,7.55199457,44.32981994
bra,7.85474763,44.69818228
briaglia,7.87698925,44.39511761
briga alta,7.75076032,44.08321974
brondello,7.40513697,44.60005668
brossasco,7.36044207,44.57029687
busca,7.47352127,44.51369697
camerana,8.14079853,44.42266439
camo,8.19352184,44.69488958
canale,7.99140953,44.79720739
canosio,7.08139097,44.45532677
caprauna,7.95494044,44.11582328
caraglio,7.42762073,44.41771618
caramagna piemonte,7.74117579,44.78043462
carde,7.47821589,44.74417866
carru,7.88006416,44.47859161
cartignano,7.28769499,44.47708439
casalgrasso,7.62496057,44.81950243
castagnito,8.03015252,44.75647805
casteldelfino,7.06903166,44.59097136
castellar,7.43636974,44.62157124
castelletto stura,7.63905085,44.44422917
castelletto uzzone,8.18598322,44.49257989
castellinaldo d alba,8.03153502,44.77533089
castellino tanaro,7.98188704,44.42777401
castelmagno,7.21232892,44.40916447
castelnuovo ceva,8.13019641,44.35330865
castiglione falletto,7.97903465,44.62333766
castiglione tinella,8.18943117,44.72604642
castino,8.18121378,44.61699553
cavallerleone,7.66273569,44.73944316
cavallermaggiore,7.68774788,44.70785741
celle macra,7.17967333,44.48257098
centallo,7.59014854,44.50412404
ceresole alba,7.82056601,44.79952425
cerretto langhe,8.09783957,44.57433971
cervasca,7.46788805,44.38316033
cervere,7.79316738,44.63475191
ceva,8.03521716,44.38623533
cherasco,7.85820345,44.65222548
chiusa pesio,7.67788414,44.32477035
ciglie,7.92622597,44.43506854
cissone,8.03050943,44.56310368
clavesana,7.91198215,44.4821472
corneliano d alba,7.96129163,44.73553903
cortemilia,8.19186669,44.5808616
cossano belbo,8.19855921,44.66906362
costigliole saluzzo,7.48493751,44.56461241
cravanzana,8.12818957,44.57315552
crissolo,7.15718954,44.69910296
cuneo,7.55117163,44.39329624
demonte,7.29751308,44.31526154
diano d alba,8.02766887,44.65139204
dogliani,7.94516725,44.53009052
dronero,7.36331795,44.46697823
elva,7.08963389,44.53976498
entracque,7.39780279,44.24075683
envie,7.37219219,44.68175309
farigliano,7.91702082,44.51169894
faule,7.58066365,44.80542638
feisoglio,8.10417587,44.54335973
fossano,7.72487008,44.549398
frabosa soprana,7.80709202,44.28747375
frabosa sottana,7.79831038,44.30202535
frassino,7.27564416,44.571357
gaiola,7.40676156,44.33524752
gambasca,7.34741432,44.62937358
garessio,8.02988403,44.19729282
genola,7.6627259,44.58769184
gorzegno,8.13511748,44.51186
gottasecca,8.16725259,44.46169553
govone,8.09995734,44.80485973
grinzane cavour,7.98221368,44.6565379
guarene,8.03367466,44.73780446
igliano,8.01250347,44.44353291
isasca,7.38154761,44.58729447
lagnasco,7.55533712,44.62466066
la morra,7.93346395,44.63734577
lequio berria,8.09767172,44.60460498
lequio tanaro,7.8835988,44.56023249
lesegno,7.96650568,44.40123357
levice,8.15661951,44.53765937
limone piemonte,7.57607947,44.20129244
lisio,7.97963402,44.30669736
macra,7.17920368,44.49985871
magliano alfieri,8.06781101,44.76646823
magliano alpi,7.79955227,44.45810047
mango,8.15033106,44.68461474
manta,7.48626156,44.61433199
marene,7.7291516,44.66149658
margarita,7.68685767,44.40264638
marmora,7.0944983,44.4574949
marsaglia,7.98298599,44.45218424
martiniana po,7.36631509,44.62641683
melle,7.32058248,44.56205512
moiola,7.38887176,44.31969065
mombarcaro,8.08509313,44.46776296
mombasiglio,7.96999618,44.36331302
monastero vasco,7.82276111,44.34017655
monasterolo casotto,7.94113913,44.33083516
monasterolo savigliano,7.62076965,44.68633537
monchiero,7.91814013,44.57304646
mondovi,7.81980578,44.38717713
monesiglio,8.11637954,44.46489547
monforte d alba,7.96840862,44.58233541
monta,7.96001468,44.81309155
montaldo mondovi,7.8658402,44.31946922
montaldo roero,7.92446567,44.76856722
montanera,7.66557341,44.46197795
montelupo albese,8.04638473,44.6230682
montemale cuneo,7.37281405,44.43769447
monterosso grana,7.32391931,44.4088882
monteu roero,7.93086916,44.78023621
montezemolo,8.14146684,44.37823953
monticello d alba,7.94100869,44.71829049
moretta,7.53692411,44.76390518
morozzo,7.71044647,44.42304028
murazzano,8.01884708,44.47375439
murello,7.60094237,44.75295967
narzole,7.87051966,44.59415651
neive,8.11549922,44.72631566
neviglie,8.1159764,44.69212361
niella belbo,8.07912058,44.51329019
niella tanaro,7.92135837,44.41482647
novello,7.92765526,44.58715702
nucetto,8.05891552,44.33940152
oncino,7.19025436,44.67649775
ormea,7.91069055,44.14859437
ostana,7.18848199,44.6922177
paesana,7.27655778,44.68544648
pagno,7.42993582,44.61374464
pamparato,7.91385092,44.27712579
paroldo,8.07131848,44.43167462
perletto,8.2140792,44.5989965
perlo,8.08360656,44.33309061
peveragno,7.61713926,44.33001233
pezzolo valle uzzone,8.19411,44.5392765
pianfei,7.70975813,44.3704904
piasco,7.45740743,44.56855814
pietraporzio,7.03194297,44.34401168
piobesi d alba,7.97851256,44.73490945
piozzo,7.89242201,44.5157626
pocapaglia,7.88718583,44.71945971
polonghera,7.59607299,44.80335136
pontechianale,7.02831148,44.62198999
pradleves,7.28208627,44.41859801
prazzo,7.05543047,44.48307586
priero,8.09241941,44.3766176
priocca,8.06272749,44.79130724
priola,8.02242382,44.2459767
prunetto,8.14431165,44.48944911
racconigi,7.67598165,44.76782338
revello,7.38900592,44.65466177
rifreddo,7.34909777,44.65049802
rittana,7.40063509,44.35057088
roaschia,7.45613996,44.27013254
roascio,8.02254642,44.41716489
robilante,7.51116274,44.29422968
roburent,7.89020684,44.3049956
roccabruna,7.34074709,44.47629522
rocca ciglie,7.95114507,44.44409132
rocca de baldi,7.74569773,44.43017736
roccaforte mondovi,7.74587877,44.31842604
roccasparvera,7.44134173,44.34165607
roccavione,7.48125617,44.31440994
rocchetta belbo,8.17527183,44.63713321
roddi,7.97610755,44.67845326
roddino,8.01873571,44.57410827
rodello,8.05931571,44.63061299
rossana,7.43260669,44.54249985
ruffia,7.60244401,44.70724824
sale delle langhe,8.08345546,44.39706458
sale san giovanni,8.07860651,44.39938022
saliceto,8.16679127,44.41327854
salmour,7.79212298,44.57815425
saluzzo,7.49084739,44.64702298
sambuco,7.07781003,44.33734246
sampeyre,7.1888735,44.57938316
san benedetto belbo,8.05785091,44.48989293
san damiano macra,7.25630891,44.48841462
