Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Ibrido vs Benzina,is_Diesel vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
22499,3,88000,1,110,1,99,0,1,0,1,0,0,1,0
23900,5,57300,1,110,1,189,0,0,0,1,0,1,0,0
21500,5,85000,1,110,1,412,0,1,0,1,0,0,1,0
23500,4,58000,0,110,1,25,0,1,0,0,1,0,0,0
24900,5,41318,1,110,1,276,0,0,0,0,1,1,0,0
24900,5,74357,1,110,1,184,0,1,0,0,0,0,0,0
23500,4,50837,1,110,1,97,1,0,0,0,0,0,1,0
22900,4,134000,1,110,1,602,0,1,0,0,0,0,0,1
20500,5,81000,0,110,1,236,0,1,0,0,0,0,1,0
24500,4,72822,1,110,1,177,1,0,0,0,1,1,0,0
23990,4,99000,1,110,1,162,0,1,0,0,1,1,0,0
24900,3,74690,1,110,1,31,1,0,0,0,0,0,0,0
23900,3,95768,1,110,1,695,0,1,0,0,0,0,0,1
19900,5,99814,1,110,1,86,1,0,0,0,1,0,0,0
24890,4,149000,0,110,1,770,0,1,0,0,1,0,0,1
24900,3,74690,1,110,1,42,1,0,0,0,0,0,0,0
24900,4,103000,0,110,1,292,0,1,0,1,0,1,0,0
24400,3,70528,0,110,1,201,0,1,0,0,0,1,0,0
22000,5,69000,1,110,1,105,0,1,0,1,0,0,1,0
25000,4,110000,1,110,1,286,0,1,0,0,1,1,0,0
19900,5,102000,1,110,1,31,1,0,0,1,0,0,0,0
15900,4,169605,1,110,1,76,0,1,0,1,0,0,0,0
23500,4,108000,1,110,1,611,0,0,1,0,0,0,0,1
22990,5,93000,1,110,1,189,0,1,1,0,0,1,0,0
24400,3,111000,0,110,1,104,0,1,0,0,1,0,1,0
24900,4,59587,1,110,1,223,1,0,0,0,0,0,1,0
24500,4,92000,1,110,1,659,0,1,0,0,1,0,0,1
22900,5,57200,1,110,1,140,0,1,0,0,0,0,0,0
21499,5,44671,1,110,1,86,0,1,0,1,0,0,0,0
19900,5,119699,1,110,1,86,0,1,0,0,0,0,0,0
22990,5,93000,1,110,1,186,0,1,1,0,0,1,0,0
20900,5,151387,1,110,1,223,0,1,0,0,0,0,1,0
24900,4,99800,1,110,1,444,0,1,0,0,1,0,0,1
18600,5,126925,0,110,1,111,0,1,0,0,1,0,1,0
24599,4,49923,1,110,1,326,1,0,0,0,1,0,1,0
19900,5,102000,1,110,1,42,1,0,0,1,0,0,0,0
23500,5,74800,1,110,1,217,0,1,0,0,0,0,0,0
23400,3,100000,1,110,1,140,0,0,0,0,0,0,1,0
24400,3,110433,1,110,1,40,0,0,0,0,1,0,0,0
25000,5,49716,0,110,1,271,0,1,0,0,0,1,0,0
19900,5,127000,1,110,1,489,0,1,0,0,1,0,0,1
24200,4,93295,1,110,1,201,1,0,0,0,0,1,0,0
19500,5,89100,0,110,1,222,0,1,0,1,0,1,0,0
24400,5,50000,0,110,1,104,0,1,0,0,0,0,1,0
25400,3,18400,1,110,1,299,1,0,0,1,0,1,0,0
25800,3,36818,1,110,1,102,0,1,0,0,1,1,0,0
27800,2,34127,1,110,1,102,0,1,0,0,1,1,0,0
28900,2,23000,1,110,1,262,0,0,1,0,0,1,0,0
27300,2,20000,1,110,1,177,1,0,0,0,1,1,0,0
27550,2,55900,1,110,1,23,0,0,1,0,0,0,0,0
26500,3,54375,0,110,1,285,0,1,1,0,0,1,0,0
26315,2,67700,1,110,1,119,0,1,1,0,0,0,0,0
26315,2,63129,1,110,1,86,0,1,1,0,0,0,0,0
26900,3,8356,1,110,1,192,1,0,0,0,0,1,0,0
29900,4,43900,0,110,1,222,0,0,1,0,0,1,0,0
27900,3,79704,1,110,1,753,0,1,0,0,1,0,0,1
28500,3,29000,1,110,1,193,0,1,0,0,0,1,0,0
