Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 180
d Progressive Advanced Plus - auto x Neo patentati",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-plus-auto-x-neo-patentati-diesel-grigio-c4d0233a-3cd6-4f50-b880-1dc97dc24078,Mercedes-Benz,A 180,d Progressive Advanced Plus - auto x Neo patentati,,€ 34.500,10 km,Automatico,09/2023,Diesel,85 kW (116 CV),Giuseppe e/o Simone • IT-41123 Modena - Mo
,https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-eq-power-sport-auto-elettrica-benzina-grigio-30899ebf-5cb9-42a9-85d8-22ab7253e5bb,Mercedes-Benz,A 250,A 250 e phev (eq-power) Sport auto,,,,,,,,Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
Automatic 4p. Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-4p-executive-elettrica-benzina-argento-ffcbfa31-320e-4344-aa93-352bf817253f,Mercedes-Benz,A 180,Automatic 4p. Executive,,€ 33.030,- km,Automatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
180 d business auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-business-auto-diesel-bianco-c00037a6-70a0-4ad4-84df-0f50951b378c,Mercedes-Benz,A 180,180 d business auto,,€ 26.400,54.501 km,Semiautomatico,08/2020,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 250
250 e phev amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-250-e-phev-amg-line-premium-auto-elettrica-benzina-grigio-ba780bc7-c017-4279-ae9a-6cfb6ae65894,Mercedes-Benz,A 250,250 e phev amg line premium auto,,€ 35.000,10.261 km,Semiautomatico,12/2023,Elettrica/Benzina,160 kW (218 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-premium-auto-diesel-nero-db25cd2b-40c5-47fc-82bc-da7d67377048,Mercedes-Benz,A 180,180 d amg line premium auto,,€ 37.000,15.087 km,Semiautomatico,10/2023,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180 d premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-premium-auto-diesel-blu-azzurro-26827845-b13d-4304-b50b-679b05cfdcd8,Mercedes-Benz,A 180,180 d premium auto,,€ 32.900,42.975 km,Semiautomatico,12/2022,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 200
200 amg line advanced plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-amg-line-advanced-plus-auto-elettrica-benzina-grigio-12067146-2da9-4b04-a410-51bee7dfbfd5,Mercedes-Benz,A 200,200 amg line advanced plus auto,,€ 36.500,5.544 km,Semiautomatico,01/2024,Elettrica/Benzina,120 kW (163 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
A 180 Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-automatic-advanced-elettrica-benzina-argento-58d55367-f20b-466e-b393-bc2737e0c1e9,Mercedes-Benz,A 180,A 180 Automatic Advanced,,€ 34.440,- km,Automatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
Classe A 250 e AMG Ad.Plus Night Ed. auto*",https://www.autoscout24.it/annunci/mercedes-benz-a-250-classe-a-250-e-amg-ad-plus-night-ed-auto-elettrica-benzina-grigio-be5b91a4-b719-4eb0-ace8-1215c9e03eb0,Mercedes-Benz,A 250,Classe A 250 e AMG Ad.Plus Night Ed. auto*,,€ 36.990,1 km,Semiautomatico,01/2024,Elettrica/Benzina,120 kW (163 CV),Vendita & Noleggio • IT-50145 Firenze - FI
"Mercedes-Benz
A 200
d AMG Line Premium auto, TELEC, BURMESTER, AMBIENT",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-premium-auto-telec-burmester-ambient-diesel-bianco-8baa8df9-8709-4c6f-b5f8-04d2950d918b,Mercedes-Benz,A 200,"d AMG Line Premium auto, TELEC, BURMESTER, AMBIENT",,€ 37.500,5.000 km,Automatico,07/2023,Diesel,110 kW (150 CV),Chiedere di un Venditore • IT-48124 Ravenna
"Mercedes-Benz
A 200
FACELIFT BENZINA PREMIUM AMG AUTOMATICA",https://www.autoscout24.it/annunci/mercedes-benz-a-200-facelift-benzina-premium-amg-automatica-benzina-bianco-d3e58511-9a06-4159-8339-ff039cf5d963,Mercedes-Benz,A 200,FACELIFT BENZINA PREMIUM AMG AUTOMATICA,,€ 35.500,18.500 km,Automatico,02/2024,Benzina,120 kW (163 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
180 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-premium-auto-diesel-grigio-63544eda-2721-4eea-b989-67a52b22cae6,Mercedes-Benz,A 180,180 d amg line premium auto,,€ 35.400,16.245 km,Semiautomatico,09/2023,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Progressive auto**",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-progressive-auto-diesel-grigio-a0c48e5d-4e08-4bc0-bae4-2694c2a728ba,Mercedes-Benz,A 180,A 180 d Automatic Advanced Progressive auto**,,€ 32.890,1 km,Semiautomatico,09/2023,Diesel,85 kW (116 CV),Vendita & Noleggio • IT-50145 Firenze - FI
"Mercedes-Benz
A 250
AMG Line Premium Plus 4matic auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-line-premium-plus-4matic-auto-benzina-bianco-3c111a1f-8cc5-4b67-8e1e-0db5cdd62d7a,Mercedes-Benz,A 250,AMG Line Premium Plus 4matic auto,,€ 39.500,19.700 km,Automatico,01/2024,Benzina,165 kW (224 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 35 AMG
- A AMG 35 4matic auto",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-amg-35-4matic-auto-benzina-blu-azzurro-7d96e205-547d-41ee-a9ab-83a1346716c7,Mercedes-Benz,A 35 AMG,- A AMG 35 4matic auto,,€ 36.900,62.582 km,Automatico,02/2020,Benzina,225 kW (306 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
180 d sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-argento-65765a1e-aea7-4366-94bc-26cc8bba3d86,Mercedes-Benz,A 180,180 d sport auto,,€ 31.000,14.350 km,Semiautomatico,05/2023,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
180 d amg line premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-premium-auto-diesel-grigio-c7e65c47-4ac4-48c1-8fc1-8b83baff0dd3,Mercedes-Benz,A 180,180 d amg line premium auto,,€ 35.400,12.281 km,Semiautomatico,09/2023,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 220
A 220 d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-executive-diesel-nero-7cca9ed7-1c83-4547-aa86-6908e1210e97,Mercedes-Benz,A 220,A 220 d Automatic Executive,,€ 36.690,- km,Semiautomatico,- (Anno),Diesel,140 kW (190 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
d Automatic 4p. Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-4p-executive-diesel-argento-98395e8e-ea64-404c-9429-16a8ec2eccc7,Mercedes-Benz,A 180,d Automatic 4p. Executive,,€ 34.400,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-f46403de-f76c-4249-a26a-124e46534397,Mercedes-Benz,A 180,d Automatic,,,,,,,,Ufficio Web • IT-51013 Chiesina Uzzanese -Pistoia
"Mercedes-Benz
A 200
SPORT Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-sport-progressive-advanced-plus-auto-benzina-bianco-52935462-f88b-4f1a-a95c-b5dbb8000405,Mercedes-Benz,A 200,SPORT Progressive Advanced Plus auto,,€ 33.900,19.600 km,Automatico,01/2024,Benzina,120 kW (163 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
A 180 d Advanced Plus AMG Line NIGHT-PACK",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-advanced-plus-amg-line-night-pack-diesel-nero-ab2ce03f-6e90-4971-9796-3f0219c44620,Mercedes-Benz,A 180,A 180 d Advanced Plus AMG Line NIGHT-PACK,,€ 36.000,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),Servizio Clienti • IT-40026 Imola -  Bologna
"Mercedes-Benz
A 180
Automatic AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-amg-elettrica-benzina-nero-f34584a8-65c8-430c-b6ad-8770693db72b,Mercedes-Benz,A 180,Automatic AMG,,€ 34.900,7.000 km,Automatico,10/2022,Elettrica/Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 200
Automatic AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-amg-benzina-nero-8253d13e-6597-47b8-bf5a-7faee101c9e2,Mercedes-Benz,A 200,Automatic AMG,,€ 37.300,4.500 km,Automatico,06/2022,Benzina,120 kW (163 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Progressive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-progressive-diesel-nero-e3b80ea8-79a2-4d16-84ad-0e7bdb6090f0,Mercedes-Benz,A 180,A 180 d Automatic Advanced Progressive,,€ 36.500,10 km,Automatico,01/2025,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 250
E AUTO AMG LINE",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-auto-amg-line-elettrica-benzina-nero-74c30c61-fbcd-43d6-bf1a-914bebfd1470,Mercedes-Benz,A 250,E AUTO AMG LINE,,€ 36.900,1 km,Automatico,03/2024,Elettrica/Benzina,120 kW (163 CV),Stefano e Lorenzo Marinelli Motors • IT-45026 Lendinara - Rovigo
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-bianco-00272e1e-56f6-4994-930e-3bd13b3b7c9c,Mercedes-Benz,A 180,d Automatic,,€ 37.380,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 200
d Automatic AMG Line Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-amg-line-premium-diesel-nero-1101d737-5fff-47b3-a568-f140200d5ce7,Mercedes-Benz,A 200,d Automatic AMG Line Premium,,€ 38.380,13.357 km,Automatico,05/2023,Diesel,110 kW (150 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Plus AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-plus-amg-line-diesel-argento-b580fafe-942e-4348-bfff-d0a1756d0af8,Mercedes-Benz,A 180,A 180 d Automatic Advanced Plus AMG Line,,€ 37.300,10 km,Automatico,04/2024,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
d PREMIUM AMG AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-bianco-9ec22037-5a25-4729-8104-4d0ea2110d72,Mercedes-Benz,A 180,d PREMIUM AMG AUTOMATIC,,€ 34.900,11.486 km,Automatico,02/2024,Diesel,85 kW (116 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 250
e Plug-in hybrid Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-plug-in-hybrid-automatic-elettrica-benzina-nero-a6bc9b99-46bc-4dd8-ae84-25b451b5efc0,Mercedes-Benz,A 250,e Plug-in hybrid Automatic,,€ 38.724,- km,Automatico,- (Anno),Elettrica/Benzina,118 kW (160 CV),Lorenzo Mailli - Andrea Tirelli Ufficio Commerciale • IT-37135 Verona  - Vr
"Mercedes-Benz
A 180
A 180 d Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-blu-azzurro-9c5843d8-c290-4b52-a657-e265353925ea,Mercedes-Benz,A 180,A 180 d Sport Automatic,,€ 26.399,43.545 km,Automatico,08/2021,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 220
A 220 d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-220-a-220-d-automatic-executive-diesel-argento-1e1a36ec-492c-4f5a-8d66-7864962eed32,Mercedes-Benz,A 220,A 220 d Automatic Executive,,€ 39.210,- km,Automatico,- (Anno),Diesel,140 kW (190 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
A 200 d Automatic AMG Line Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-premium-diesel-argento-b195c6f0-a29c-40b9-9d21-c7fb4bb97b2a,Mercedes-Benz,A 200,A 200 d Automatic AMG Line Premium,,€ 38.950,24.700 km,Automatico,05/2023,Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180",https://www.autoscout24.it/annunci/mercedes-benz-a-180-benzina-argento-72ab5a04-40a9-44d9-9277-d912d8f9601c,Mercedes-Benz,A 180,,,€ 38.600,0 km,Automatico,- (Anno),Benzina,100 kW (136 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-bianco-672a7c87-7f7d-43b8-8348-2baf01f17b03,Mercedes-Benz,A 180,d Automatic,,€ 35.800,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-argento-0a38aab5-fafe-4129-a257-1ed984ef075d,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 36.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 200
200 d AMG Line Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-d-amg-line-premium-auto-diesel-blu-azzurro-04f8f841-6bcd-4319-b4c5-2461db48ed03,Mercedes-Benz,A 200,200 d AMG Line Premium auto,,€ 38.990,12.032 km,Automatico,07/2023,Diesel,110 kW (150 CV),Operatore Web Moreno • IT-48018 Faenza - Ravenna - Ra
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-premium-auto-diesel-grigio-9dc91714-c158-44f0-9cb2-f83c836c87e2,Mercedes-Benz,A 180,A 180 d Premium auto,,,,,,,,Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-nero-cb818b0a-ab3e-4e50-83fc-32dfb80a2bd0,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,€ 39.400,,1 km,Automatico,04/2024,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-grigio-2756986e-bbc3-47e2-8011-5e19f79b36cf,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 37.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-bianco-6ca088be-65bf-4e41-84a5-36d3328b8b19,Mercedes-Benz,A 180,d Automatic,,€ 37.200,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 200
d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-executive-diesel-argento-48b64ee0-b5c3-47ea-b2e7-e6951d0f9f55,Mercedes-Benz,A 200,d Automatic Executive,,€ 35.940,- km,Automatico,- (Anno),Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 250
- A 250 e phev AMG Line Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-amg-line-advanced-plus-auto-elettrica-benzina-grigio-c7c73fed-e8be-4bd6-85c4-4ec375e9baed,Mercedes-Benz,A 250,- A 250 e phev AMG Line Advanced Plus auto,,€ 38.200,6.702 km,Automatico,06/2024,Elettrica/Benzina,120 kW (163 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
Business auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-business-auto-benzina-bianco-0a3f859c-c69e-4ee5-a6fd-42388cf18acd,Mercedes-Benz,A 180,Business auto,,€ 33.500,9.000 km,Automatico,06/2023,Benzina,100 kW (136 CV),Franco • IT-50019 Sesto Fiorentino - Firenze - FI
"Mercedes-Benz
A 180
A 180 d Sport 116cv auto *",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-116cv-auto-diesel-nero-48796220-9ee6-4c01-9f74-de8053922897,Mercedes-Benz,A 180,A 180 d Sport 116cv auto *,,€ 36.890,1 km,Semiautomatico,01/2025,Diesel,85 kW (116 CV),Vendita & Noleggio • IT-50145 Firenze - FI
"Mercedes-Benz
A 180
d Progressive Advanced auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-auto-diesel-grigio-936850af-b3f8-402e-9334-601d8a38cde6,Mercedes-Benz,A 180,d Progressive Advanced auto,,€ 34.500,10 km,Automatico,09/2023,Diesel,85 kW (116 CV),Matteo Lovato • IT-37138 Verona - Vr
"Mercedes-Benz
A 180
d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-argento-eec4d0e9-cd84-4871-8c39-3d9ee208951a,Mercedes-Benz,A 180,d Automatic Advanced,,€ 36.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
Automatic AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-amg-line-elettrica-benzina-nero-b397952e-653b-4e05-a495-d6944c5a086b,Mercedes-Benz,A 180,Automatic AMG Line,,€ 38.500,12.300 km,Automatico,07/2023,Elettrica/Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Plus AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-plus-amg-line-diesel-nero-451d56a4-dce4-4b20-be49-9970e9737fca,Mercedes-Benz,A 180,A 180 d Automatic Advanced Plus AMG Line,,€ 38.000,10 km,Automatico,07/2024,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-bianco-438e2750-7fb9-468e-8cba-253823f5a88a,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 39.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 200
Automatic Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-sport-benzina-nero-d0211d70-cd85-49cf-967c-7c94d9a24353,Mercedes-Benz,A 200,Automatic Sport,,€ 26.490,51.000 km,Automatico,01/2019,Benzina,120 kW (163 CV),Enrico Vivarini • IT-35028 Piove Di Sacco
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-bianco-097c62c3-bc1d-4075-9db8-c088688ca586,Mercedes-Benz,A 180,d Automatic,,€ 37.700,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-fbcc8cc9-374a-4347-91a2-843f5ff81333,Mercedes-Benz,A 180,d Automatic,,€ 38.600,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Ufficio Web • IT-51013 Chiesina Uzzanese -Pistoia
"Mercedes-Benz
A 200
200 d amg line advanced plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-d-amg-line-advanced-plus-auto-diesel-nero-4d9b0226-4531-454f-ba32-dcff02b40b88,Mercedes-Benz,A 200,200 d amg line advanced plus auto,,€ 37.200,22.213 km,Semiautomatico,06/2024,Diesel,110 kW (150 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Plus AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-plus-amg-line-diesel-argento-a59b88e7-9a9b-4f6f-8ad1-279c36fb998f,Mercedes-Benz,A 180,A 180 d Automatic Advanced Plus AMG Line,,€ 38.300,16.412 km,Automatico,01/2024,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Automatic Advanced Plus AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-plus-amg-line-diesel-argento-ee8b9b1b-d456-40a6-a829-6809d7c46774,Mercedes-Benz,A 180,A 180 d Automatic Advanced Plus AMG Line,,€ 38.500,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-f54d0206-3b74-4270-b7aa-b106cba65606,Mercedes-Benz,A 180,d Automatic,,,,,,,,Ufficio Web • IT-51013 Chiesina Uzzanese -Pistoia
"Mercedes-Benz
A 180
d Automatic Business Extra",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-business-extra-diesel-bianco-a0c09ed5-f5b7-4892-ac31-b563fbbd66b0,Mercedes-Benz,A 180,d Automatic Business Extra,,€ 24.490,60.000 km,Automatico,05/2019,Diesel,85 kW (116 CV),Enrico Vivarini • IT-35028 Piove Di Sacco
"Mercedes-Benz
A 200
A 200 d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-advanced-diesel-argento-9fbb83b7-c53e-4045-8d08-70773102688f,Mercedes-Benz,A 200,A 200 d Automatic Advanced,,€ 38.180,- km,Automatico,- (Anno),Diesel,110 kW (150 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
d Automatic 4p. Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-4p-premium-diesel-bianco-9095b4a3-c87e-4435-858a-721fd77672b7,Mercedes-Benz,A 180,d Automatic 4p. Premium,,€ 36.600,4.908 km,Automatico,01/2022,Diesel,85 kW (116 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-argento-fc07d95e-3264-46ca-9d3f-a32958f763fb,Mercedes-Benz,A 180,d Automatic,,€ 38.300,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
A 180 d Automatic Alpine Grey Edition",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-alpine-grey-edition-diesel-argento-4e7109b5-f13c-48ec-88c7-4485ea43f99c,Mercedes-Benz,A 180,A 180 d Automatic Alpine Grey Edition,,€ 39.530,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-bianco-df0d4d58-e8fd-4e24-8f8f-8bad4d60f2d0,Mercedes-Benz,A 180,d Automatic,,€ 37.800,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
